Rating Agency,Corporation,Rating,Rating Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Standard & Poor's Ratings Services,American States Water Co.,A-,2010-07-30,1056903,1,4941.0,Utils,AWR,1.1507,0.4551,0.8847,77.623,19.4839,19.4839,28.9834,13.6093,8.3224,0.3173,8.1724,8.1978,2.6385,4.453,1.9957,-0.1333
Standard & Poor's Ratings Services,Automatic Data Processing Inc.,AAA,2010-09-16,8670,1,7374.0,BusEq,ADP,1.1129,0.0072,0.0073,43.6619,19.8327,19.8327,23.9379,20.8699,13.569,0.3324,22.0354,47.2858,4.4944,21.8765,0.2501,0.3132
Standard & Poor's Ratings Services,Avnet Inc.,BBB-,2010-11-23,8858,1,5065.0,Shops,AVT,1.9276,0.2924,0.4255,11.9008,3.3173,3.3173,3.6338,3.0536,2.1418,2.462,13.6376,16.7991,5.2731,9.6494,-7.6079,-7.3231
Standard & Poor's Ratings Services,California Water Service Co.,AA-,2010-06-29,1035201,1,4941.0,Utils,CWT,0.8358,0.4708,0.9491,64.5096,18.4549,18.4549,27.9377,15.1135,9.0246,0.2946,9.6412,9.7015,2.6583,5.1018,1.7438,-0.8999
Standard & Poor's Ratings Services,Cardinal Health Inc.,A,2010-07-14,721371,1,5122.0,Shops,CAH,1.2931,0.2644,0.4036,3.8385,1.3269,1.3269,1.5847,1.2304,0.6518,4.9276,11.1256,19.4184,2.9364,8.1844,1.9725,2.4174
Standard & Poor's Ratings Services,Cardinal Health Inc.,BBB+,2010-09-16,721371,1,5122.0,Shops,CAH,1.2931,0.2644,0.4036,3.8385,1.3269,1.3269,1.5847,1.2304,0.6518,4.9276,11.1256,19.4184,2.9364,8.1844,1.9725,2.4174
Standard & Poor's Ratings Services,Carpenter Technology Corp.,BBB,2010-12-20,17843,1,3312.0,Manuf,CRS,3.7607,0.3116,0.4527,12.0808,0.9761,0.9761,5.9069,0.3921,0.1585,0.7571,0.3662,0.4034,0.1326,0.2521,-0.6973,0.9587
Standard & Poor's Ratings Services,Companhia de Saneamento Basico do Estado de Sao Paulo,BB,2010-12-07,1170858,0,4941.0,Utils,SBS,0.8134,0.3452,0.6231,54.2938,31.8143,31.8143,40.1446,28.7928,20.4126,0.3121,13.0426,15.2863,6.3671,8.5405,1.5316,0.1005
Standard & Poor's Ratings Services,Compass Group PLC,BBB+,2010-05-28,1563190,1,7371.0,BusEq,COMP,1.0668,0.3398,0.89,64.6665,37.2524,37.2524,43.6578,23.1982,15.9279,0.3886,21.2038,18.3188,6.5242,11.8033,1.2684,0.9432
Standard & Poor's Ratings Services,Diageo PLC,A-,2010-10-01,835403,1,2085.0,NoDur,DEO,1.7627,0.6308,1.8312,58.0879,26.3191,26.3191,30.1227,22.8936,17.822,0.5027,37.0226,-91.3355,9.1082,13.6689,1.5979,1.8099
Standard & Poor's Ratings Services,Entergy Corp,BBB-,2010-09-15,65984,1,4911.0,Utils,ETR,1.4196,0.5595,1.3798,65.5206,21.26,21.26,34.8363,17.5307,11.4567,0.2861,14.5245,15.0183,3.3306,6.3289,14.9775,5.116
Standard & Poor's Ratings Services,Entergy Corp,A-,2010-09-28,65984,1,4911.0,Utils,ETR,1.4196,0.5595,1.3798,65.5206,21.26,21.26,34.8363,17.5307,11.4567,0.2861,14.5245,15.0183,3.3306,6.3289,14.9775,5.116
Standard & Poor's Ratings Services,FMC Technologies Inc.,A,2010-12-10,1135152,1,3533.0,Manuf,FTI,1.2307,0.2743,0.5031,44.8414,18.4424,18.4424,22.2616,15.834,9.9892,0.6739,12.6645,-52.2393,6.7318,9.1905,4.7202,4.1827
Standard & Poor's Ratings Services,FedEx Corp.,BBB,2010-10-26,1048911,1,4513.0,Other,FDX,1.5681,0.1078,0.1397,77.4457,5.7523,5.7523,11.3894,5.4529,3.4088,1.3948,8.5729,10.1972,4.7546,7.6491,1.1699,-0.049
Standard & Poor's Ratings Services,Flowserve Corp.,BB,2010-11-05,30625,0,3561.0,Manuf,FLS,1.7141,0.2304,0.3145,35.4648,14.4211,14.7838,17.0209,13.3965,9.8021,1.0274,23.7731,52.7409,10.081,18.296,2.5506,1.9125
Standard & Poor's Ratings Services,Fluor Corp.,A,2010-11-23,1124198,1,1600.0,Other,FLR,1.5515,0.0053,0.0383,5.9169,5.1051,5.1051,6.0856,5.1695,3.1145,3.0634,21.9826,22.5789,10.2093,21.8662,5.0039,3.9227
Standard & Poor's Ratings Services,Fresh Del Monte Produce Inc.,B,2010-06-01,1047340,0,100.0,NoDur,FDP,2.543,0.1589,0.1918,8.8891,4.2386,4.2386,6.7269,3.7696,4.1157,1.3468,8.53,11.2424,5.5701,7.1744,4.0444,2.9936
