Rating,Current Ratio,Debt/Equity Ratio,Gross Margin,EBITDA Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year Month Day,Rating Agency_DBRS,Rating Agency_Egan-Jones Ratings Company,Rating Agency_Fitch Ratings,Rating Agency_HR Ratings de Mexico S.A. de C.V.,"Rating Agency_Japan Credit Rating Agency,Ltd.",Rating Agency_Moody's Investors Service,Rating Agency_Standard & Poor's Ratings Services,Sector_BusEq,Sector_Chems,Sector_Durbl,Sector_Enrgy,Sector_Hlth,Sector_Manuf,Sector_Money,Sector_NoDur,Sector_Other,Sector_Shops,Sector_Telcm,Sector_Utils
0,0.028783047557806495,0.8839619592041369,0.880773001427932,0.60218451611468,0.6671982423628828,0.2749745502044739,0.6157613261997223,0.5869370669305197,0.618673693686737,0.24985362319732987,0.5475276159955705,20100730,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.02766806580162174,0.8834357737726487,0.6998247053558109,0.5943899557306664,0.6754708300070433,0.2876599209630121,0.6165190050146281,0.5885721212776297,0.6330480813304808,0.24518027437719248,0.549400491184064,20100916,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0.05169916730330748,0.8836865724362553,0.5305982395942115,0.5630230875326582,0.6574529682437393,0.8557451640946285,0.6160600253455942,0.587296860037248,0.6229607237296073,0.22414270848085913,0.517369501706141,20101123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0.0194944826101192,0.8840005805191448,0.8109034334306601,0.6005690623849084,0.6683054376977148,0.2552166634564157,0.615841603098181,0.5869999668287429,0.6192089536920896,0.24917923240459808,0.5443120591769836,20100629,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.03298340211020621,0.8836734387903131,0.48764146117942925,0.5598575273933495,0.6551036075930705,0.9575348413731585,0.6159227326107575,0.5874064255778586,0.621752098717521,0.2497915117785471,0.5582267038864782,20100714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0.03298340211020621,0.8836734387903131,0.48764146117942925,0.5598575273933495,0.6551036075930705,0.9575348413731585,0.6159227326107575,0.5874064255778586,0.621752098717521,0.2497915117785471,0.5582267038864782,20100916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0.10576988310389683,0.8837028845444573,0.5315572984377996,0.5665346949469683,0.6543257957749665,0.5388364423461598,0.6153346802814567,0.5866110265190606,0.6152079511520796,0.2426438796291413,0.552108085661494,20101220,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2,0.018833752680528233,0.8838050751046642,0.7564725815732827,0.6194269395331822,0.6862614907781287,0.2705227632022851,0.6160275057686724,0.5872335794852549,0.6220458812204589,0.24861112710004196,0.5485083062958388,20101207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0.026308260009026044,0.883965137666397,0.8117394130559876,0.6248543202766401,0.6791902305700384,0.33191029488961604,0.616473554123589,0.587360429216825,0.624737691247377,0.24790648376281685,0.5520430698374814,20100528,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.046835133134131124,0.8845295845869767,0.7766879435647152,0.6039445681700772,0.682176756750194,0.40940299574098193,0.6173381267007534,0.5827735805703272,0.6262768112627681,0.24878862654251166,0.5556785030421114,20101001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0.03671475640008377,0.8842588755560059,0.8162901472688135,0.6112263915426046,0.6721402565154945,0.24759689619410083,0.6161084986443709,0.5872223690225803,0.6202213112022131,0.28460871010914207,0.5695461685755453,20100915,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.03671475640008377,0.8842588755560059,0.8162901472688135,0.6112263915426046,0.6721402565154945,0.24759689619410083,0.6161084986443709,0.5872223690225803,0.6202213112022131,0.28460871010914207,0.5695461685755453,20100928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,0.031142797306345657,0.88373310992142,0.7061092048336566,0.5918003171276098,0.6698263727874029,0.5018091155897431,0.6160068408072703,0.584408977924131,0.6225821312258214,0.257147699079814,0.5656313770561254,20101210,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0.041095041870809604,0.8835151753581616,0.8798283284669977,0.5750043564880156,0.6594507131728651,0.7222716033385336,0.6157832154275497,0.5870207020016825,0.6213104762131048,0.2476427779546228,0.5478812181868136,20101026,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
